asx_ticker,n_asx_etfs,etfs,etf_shares,inflow5_usd,adv_dollars_63d,last_close,etf_pct_float,days_to_exit_20pct_adv,inflow5_buy_days,forced_flow_score
DXS.AX,12,"A200.AX,EX20.AX,GEAR.AX,HVST.AX,IOZ.AX,MVOL.AX,QOZ.AX,VAP.AX,VAS.AX,VEU.AX,VSO.AX,WDMF.AX",73317114.0,11948152.354445057,19069959.436825406,5.78,0.06835520941956122,113.46869787944647,0.6265431446787638,0.8479115248579132
ARF.AX,10,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,QOZ.AX,VAP.AX,VAS.AX,VSO.AX",26962840.0,2567621.811478869,3103411.517301587,3.24,0.06630722884159013,142.9235218244035,0.8273546054605783,0.8453566023842264
NAB.AX,17,"A200.AX,AUMF.AX,GEAR.AX,IHD.AX,ILC.AX,IOZ.AX,IVE.AX,MVB.AX,MVOL.AX,MVW.AX,QFN.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,VLC.AX,ZYAU.AX",121497405.0,133370812.56463769,253047876.21444446,37.87,0.039687719573323406,94.44073122902165,0.527057624667093,0.8422668476656509
SUN.AX,17,"A200.AX,AUMF.AX,EX20.AX,FAIR.AX,GEAR.AX,GRNV.AX,HVST.AX,IHD.AX,IOZ.AX,IVE.AX,MVOL.AX,MVW.AX,QFN.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX",48882207.0,28208299.487457655,58776867.88,19.0,0.046113053312602174,70.8287740315494,0.47992178734410057,0.8414747887217294
SHL.AX,17,"A200.AX,AUMF.AX,EX20.AX,FAIR.AX,GEAR.AX,GRNV.AX,IHD.AX,IOZ.AX,IVE.AX,IXJ.AX,MVOL.AX,MVW.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,ZYAU.AX",24584786.0,15941991.246339876,34776439.901428565,19.81,0.04974281285315397,69.40964538223706,0.4584135492743466,0.8385910392333954
COL.AX,15,"A200.AX,AUMF.AX,GEAR.AX,ILC.AX,IOZ.AX,IVE.AX,IXI.AX,MVOL.AX,MVW.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,VMIN.AX,WDMF.AX",59575628.0,40633062.60548608,75427777.84857142,23.69,0.04435548639754605,87.96855602446153,0.5387015734052366,0.8368060684408811
VBND.AX,4,"VDBA.AX,VDCO.AX,VDGR.AX,VDHG.AX",8112167886.0,50765736.590091325,5503414.981269841,41.0,77.93476861102796,301252.9054845761,9.224406439068455,0.8357908847184987
VAF.AX,4,"VDBA.AX,VDCO.AX,VDGR.AX,VDHG.AX",2825114624.0,21638437.557121336,4858443.514285714,45.97,35.717542820918986,131700.11442183348,4.453779794597984,0.8329276018695424
VAS.AX,4,"VDBA.AX,VDCO.AX,VDGR.AX,VDHG.AX",3150699846.0,100233387.12340501,68129474.05333334,109.27,13.564865199190763,25076.037648022506,1.4712191531808976,0.8279153218859159
CNI.AX,10,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,QOZ.AX,VAP.AX,VAS.AX,VSO.AX",54449000.0,3224442.993876321,4249441.875079365,2.18,0.06395276541306587,117.16719252345396,0.7587921163920142,0.8274544329204523
