asx_ticker,company,n_etfs,etfs,etf_shares,etf_value_usd,last_close_aud,adv_shares_63d,adv_dollars_63d_aud,shares_outstanding,etf_pct_of_shares_out,days_to_exit_at_100pct_adv,days_to_exit_at_20pct_adv
ELV.AX,ELEVRA LITHIUM LTD,2,"LIT,PICK",1037778,8718055.649999999,11.19,2208408.3174603176,24970527.615555555,169329110.9919571,0.006128763057459701,0.46992125133519275,2.3496062566759637
S32.AX,South32 Ltd,2,"BATT,PICK",7154092,20799471.659999996,4.15,15415510.047619049,67637511.97714287,4481328967.951807,0.0015964219657075924,0.46408402822227485,2.320420141111374
PRN.AX,PERENTI LTD,1,PICK,1186339,1905097.31,2.4,2721082.492063492,5605166.55015873,936372080.0,0.0012669525558686031,0.4359805347541513,2.1799026737707567
TWE.AX,Treasury Wine Estates Ltd,1,MOO,1968253,6687209.63,4.69,5181870.26984127,21852869.78603175,807437259.9147121,0.0024376544131836353,0.37983448012107246,1.899172400605362
DRR.AX,DETERRA ROYALTIES LTD,1,PICK,614230,1908128.53,4.53,1658337.0158730159,7166487.1985714305,529456000.0,0.0011601152881448129,0.37038912725266787,1.8519456362633393
BRE.AX,BRAZILIAN RARE EARTHS LTD,1,PICK,199712,687635.88,5.0,564821.4285714285,2979195.540952381,280153716.0,0.0007128657897223822,0.35358431868479295,1.7679215934239647
CIA.AX,CHAMPION IRON LTD,1,PICK,581671,1631587.16,3.96,1817312.6825396826,8638627.43698413,560046921.969697,0.0010386111898521835,0.32007205231579555,1.6003602615789776
WA1.AX,WA1 RESOURCES LTD,1,PICK,72987,643359.42,12.5,234098.5873015873,3369391.723968254,74284379.04,0.0009825349682293042,0.31177889982724005,1.5588944991362002
SGM.AX,SIMS LTD,2,"PICK,SLX",322497,6648730.279999999,29.15,1085454.2698412698,24757708.24142857,193232991.01200688,0.0016689541382711459,0.2971078643848902,1.4855393219244508
NIC.AX,NICKEL INDUSTRIES LTD,1,PICK,3054785,2045770.42,0.955,10295339.158730159,10242120.612936508,4341935875.392671,0.0007035536884163991,0.29671533427916535,1.4835766713958267
